postcode,dataset,n,logadj,n_restarts_optimiser,rbf_ls_init,rbf_ls_lb,rbf_ls_ub,rq_a_init,rq_a_lb,rq_a_ub,rq_ls_init,rq_ls_lb,rq_ls_ub,wk_var_mult_lb,wk_var_mult_ub,alpha_var_multiplier
WC1R,landreg,199.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1W,landreg,1088.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1U,landreg,1769.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1T,landreg,1010.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1S,landreg,129.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1N,landreg,30.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1K,landreg,1248.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1J,landreg,724.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1H,landreg,2916.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1G,landreg,1054.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1F,landreg,337.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1D,landreg,208.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W1B,landreg,227.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N22,landreg,8352.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N21,landreg,6274.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N20,landreg,4521.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC1Y,landreg,958.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W14,landreg,11391.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W13,landreg,8254.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W12,landreg,8364.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W11,landreg,6936.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W10,landreg,4706.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W7,landreg,6706.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W6,landreg,8772.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W5,landreg,13062.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W4,landreg,14169.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W3,landreg,11547.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W2,landreg,17014.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W9,landreg,11196.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
W8,landreg,6701.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW15,landreg,18627.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW14,landreg,5864.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW17,landreg,19096.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW16,landreg,21872.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW11,landreg,24122.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW10,landreg,6649.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW13,landreg,4998.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW12,landreg,11481.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW19,landreg,25719.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW18,landreg,24462.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N1C,landreg,82.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC2E,landreg,289.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC2B,landreg,420.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC2N,landreg,292.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC2H,landreg,548.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N17,landreg,9279.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E9,landreg,5638.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E8,landreg,7614.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC2R,landreg,147.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E5,landreg,7514.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E4,landreg,15322.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E7,landreg,7896.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E6,landreg,14488.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
